Z,log_likelihood,Diff_logL_vs_Zmax,time_sec,max_P_z_eq_Z
20,-9910.74619847555,-2889.396638568035,0.08846735954284668,0.5794250047231992
30,-8186.717310757322,-1165.3677508498067,0.1961512565612793,0.42586768855531415
40,-7487.874327913165,-466.52476800565,0.3066263198852539,0.31053816100541004
50,-7200.381856691126,-179.03229678361095,0.4884004592895508,0.22073206491190492
75,-7031.507037591784,-10.157477684268997,1.026411771774292,0.07310483229452112
100,-7021.579747218334,-0.23018731081901933,1.9514062404632568,0.010053449813033912
200,-7021.349559907513,1.8189894035458565e-12,7.296756744384766,6.274520057740121e-14
400,-7021.349559907515,0.0,30.09302306175232,1.90521487559868e-35
800,-7021.349559907515,0.0,117.10839200019836,1.0525683096568528e-81
